student_id,name,age
1,Student_1,23
2,Student_2,18
3,Student_3,18
4,Student_4,23
5,Student_5,20
6,Student_6,19
7,Student_7,19
8,Student_8,19
9,Student_9,23
10,Student_10,18
11,Student_11,23
12,Student_12,23
13,Student_13,22
14,Student_14,18
15,Student_15,22
16,Student_16,21
17,Student_17,18
18,Student_18,18
19,Student_19,18
20,Student_20,19
21,Student_21,19
22,Student_22,22
23,Student_23,22
24,Student_24,18
25,Student_25,22
26,Student_26,19
27,Student_27,23
28,Student_28,23
29,Student_29,23
30,Student_30,22
31,Student_31,21
32,Student_32,19
33,Student_33,21
34,Student_34,22
35,Student_35,20
36,Student_36,24
37,Student_37,24
38,Student_38,18
39,Student_39,24
40,Student_40,24
41,Student_41,19
42,Student_42,23
43,Student_43,21
44,Student_44,20
45,Student_45,20
46,Student_46,19
47,Student_47,19
48,Student_48,24
49,Student_49,20
50,Student_50,18
51,Student_51,18
52,Student_52,21
53,Student_53,18
54,Student_54,20
55,Student_55,24
56,Student_56,20
57,Student_57,22
58,Student_58,20
59,Student_59,24
60,Student_60,18
61,Student_61,20
